Date,Adj Close,Close,High,Low,Open,Volume
2016-08-12,13.9,13.9,13.9,13.8,13.85,20102
2016-08-15,13.9,13.9,13.9,13.8,13.85,20102
2016-08-16,13.9,13.9,13.9,13.8,13.85,20102
2016-08-17,13.9,13.9,13.9,13.8,13.85,20102
2016-08-18,13.9,13.9,13.9,13.8,13.85,20102
2016-08-19,13.9,13.9,13.9,13.8,13.85,20102
2016-08-22,13.9,13.9,13.9,13.8,13.85,20102
2016-08-23,13.9,13.9,13.9,13.8,13.85,20102
2016-08-24,13.9,13.9,13.9,13.8,13.85,20102
2016-08-25,13.9,13.9,13.9,13.8,13.85,20102
2016-08-26,13.9,13.9,13.9,13.8,13.85,20102
2016-08-29,13.9,13.9,13.9,13.8,13.85,20102
2016-08-30,13.9,13.9,13.9,13.8,13.85,20102
2016-08-31,13.9,13.9,13.9,13.8,13.85,20102
2016-09-01,13.9,13.9,13.9,13.8,13.85,20102
2016-09-02,13.9,13.9,13.9,13.8,13.85,20102
2016-09-05,13.9,13.9,13.9,13.8,13.85,20102
2016-09-06,13.9,13.9,13.9,13.8,13.85,20102
2016-09-07,13.9,13.9,13.9,13.8,13.85,20102
2016-09-08,13.9,13.9,13.9,13.8,13.85,20102
2016-09-09,13.9,13.9,13.9,13.8,13.85,20102
2016-09-12,13.9,13.9,13.9,13.8,13.85,20102
2016-09-13,13.9,13.9,13.9,13.8,13.85,20102
2016-09-14,13.9,13.9,13.9,13.8,13.85,20102
2016-09-15,13.9,13.9,13.9,13.8,13.85,20102
2016-09-16,13.9,13.9,13.9,13.8,13.85,20102
2016-09-19,13.9,13.9,13.9,13.8,13.85,20102
2016-09-20,13.9,13.9,13.9,13.8,13.85,20102
2016-09-21,13.9,13.9,13.9,13.8,13.85,20102
2016-09-22,13.9,13.9,13.9,13.8,13.85,20102
2016-09-23,13.9,13.9,13.9,13.8,13.85,20102
2016-09-26,13.9,13.9,13.9,13.8,13.85,20102
2016-09-27,13.9,13.9,13.9,13.8,13.85,20102
2016-09-28,13.9,13.9,13.9,13.8,13.85,20102
2016-09-29,13.9,13.9,13.9,13.8,13.85,20102
2016-09-30,13.9,13.9,13.9,13.8,13.85,20102
2016-10-03,13.9,13.9,13.9,13.8,13.85,20102
2016-10-04,13.9,13.9,13.9,13.8,13.85,20102
2016-10-05,13.9,13.9,13.9,13.8,13.85,20102
2016-10-06,13.9,13.9,13.9,13.8,13.85,20102
2016-10-07,13.9,13.9,13.9,13.8,13.85,20102
2016-10-10,13.9,13.9,13.9,13.8,13.85,20102
2016-10-11,13.9,13.9,13.9,13.8,13.85,20102
2016-10-12,13.9,13.9,13.9,13.8,13.85,20102
2016-10-13,13.9,13.9,13.9,13.8,13.85,20102
2016-10-14,13.9,13.9,13.9,13.8,13.85,20102
2016-10-17,13.9,13.9,13.9,13.8,13.85,20102
2016-10-18,13.9,13.9,13.9,13.8,13.85,20102
2016-10-19,13.9,13.9,13.9,13.8,13.85,20102
2016-10-20,13.9,13.9,13.9,13.8,13.85,20102
2016-10-21,13.9,13.9,13.9,13.8,13.85,20102
2016-10-24,13.9,13.9,13.9,13.8,13.85,20102
2016-10-25,13.9,13.9,13.9,13.8,13.85,20102
2016-10-26,13.9,13.9,13.9,13.8,13.85,20102
2016-10-27,13.9,13.9,13.9,13.8,13.85,20102
2016-10-28,13.9,13.9,13.9,13.8,13.85,20102
2016-10-31,13.9,13.9,13.9,13.8,13.85,20102
2016-11-01,13.9,13.9,13.9,13.8,13.85,20102
2016-11-02,13.9,13.9,13.9,13.8,13.85,20102
2016-11-03,13.9,13.9,13.9,13.8,13.85,20102
2016-11-04,13.9,13.9,13.9,13.8,13.85,20102
2016-11-07,13.9,13.9,13.9,13.8,13.85,20102
2016-11-08,13.9,13.9,13.9,13.8,13.85,20102
2016-11-09,13.9,13.9,13.9,13.8,13.85,20102
2016-11-10,13.9,13.9,13.9,13.8,13.85,20102
2016-11-11,13.9,13.9,13.9,13.8,13.85,20102
2016-11-14,13.9,13.9,13.9,13.8,13.85,20102
2016-11-15,13.9,13.9,13.9,13.8,13.85,20102
2016-11-16,13.9,13.9,13.9,13.8,13.85,20102
2016-11-17,13.9,13.9,13.9,13.8,13.85,20102
2016-11-18,13.9,13.9,13.9,13.8,13.85,20102
2016-11-21,13.9,13.9,13.9,13.8,13.85,20102
2016-11-22,13.9,13.9,13.9,13.8,13.85,20102
2016-11-23,13.9,13.9,13.9,13.8,13.85,20102
2016-11-24,13.9,13.9,13.9,13.8,13.85,20102
2016-11-25,13.9,13.9,13.9,13.8,13.85,20102
2016-11-28,13.9,13.9,13.9,13.8,13.85,20102
2016-11-29,13.9,13.9,13.9,13.8,13.85,20102
2016-11-30,13.9,13.9,13.9,13.8,13.85,20102
2016-12-01,13.9,13.9,13.9,13.8,13.85,20102
2016-12-02,13.9,13.9,13.9,13.8,13.85,20102
2016-12-05,13.9,13.9,13.9,13.8,13.85,20102
2016-12-06,13.9,13.9,13.9,13.8,13.85,20102
2016-12-07,13.9,13.9,13.9,13.8,13.85,20102
2016-12-08,13.9,13.9,13.9,13.8,13.85,20102
2016-12-09,13.9,13.9,13.9,13.8,13.85,20102
2016-12-12,13.9,13.9,13.9,13.8,13.85,20102
2016-12-13,13.9,13.9,13.9,13.8,13.85,20102
2016-12-14,13.9,13.9,13.9,13.8,13.85,20102
2016-12-15,13.9,13.9,13.9,13.8,13.85,20102
2016-12-16,13.9,13.9,13.9,13.8,13.85,20102
2016-12-19,13.9,13.9,13.9,13.8,13.85,20102
2016-12-20,13.9,13.9,13.9,13.8,13.85,20102
2016-12-21,13.9,13.9,13.9,13.8,13.85,20102
2016-12-22,13.9,13.9,13.9,13.8,13.85,20102
2016-12-23,13.9,13.9,13.9,13.8,13.85,20102
2016-12-26,13.9,13.9,13.9,13.8,13.85,20102
2016-12-27,13.9,13.9,13.9,13.8,13.85,20102
2016-12-28,13.9,13.9,13.9,13.8,13.85,20102
2016-12-29,13.9,13.9,13.9,13.8,13.85,20102
2016-12-30,13.9,13.9,13.9,13.8,13.85,20102
2017-01-02,13.9,13.9,13.9,13.8,13.85,20102
2017-01-03,13.9,13.9,13.9,13.8,13.85,20102
2017-01-04,13.9,13.9,13.9,13.8,13.85,20102
2017-01-05,13.9,13.9,13.9,13.8,13.85,20102
2017-01-06,13.9,13.9,13.9,13.8,13.85,20102
2017-01-09,13.9,13.9,13.9,13.8,13.85,20102
2017-01-10,13.9,13.9,13.9,13.8,13.85,20102
2017-01-11,13.9,13.9,13.9,13.8,13.85,20102
2017-01-12,13.9,13.9,13.9,13.8,13.85,20102
2017-01-13,13.9,13.9,13.9,13.8,13.85,20102
2017-01-16,13.9,13.9,13.9,13.8,13.85,20102
2017-01-17,13.9,13.9,13.9,13.8,13.85,20102
2017-01-18,13.9,13.9,13.9,13.8,13.85,20102
2017-01-19,13.9,13.9,13.9,13.8,13.85,20102
2017-01-20,13.9,13.9,13.9,13.8,13.85,20102
2017-01-23,13.9,13.9,13.9,13.8,13.85,20102
2017-01-24,13.9,13.9,13.9,13.8,13.85,20102
2017-01-25,13.9,13.9,13.9,13.8,13.85,20102
2017-01-26,13.9,13.9,13.9,13.8,13.85,20102
2017-01-27,13.9,13.9,13.9,13.8,13.85,20102
2017-01-30,13.9,13.9,13.9,13.8,13.85,20102
2017-01-31,13.9,13.9,13.9,13.8,13.85,20102
2017-02-01,13.9,13.9,13.9,13.8,13.85,20102
2017-02-02,13.9,13.9,13.9,13.8,13.85,20102
2017-02-03,13.9,13.9,13.9,13.8,13.85,20102
2017-02-06,13.9,13.9,13.9,13.8,13.85,20102
2017-02-07,13.9,13.9,13.9,13.8,13.85,20102
2017-02-08,13.9,13.9,13.9,13.8,13.85,20102
2017-02-09,13.9,13.9,13.9,13.8,13.85,20102
2017-02-10,13.9,13.9,13.9,13.8,13.85,20102
2017-02-13,13.9,13.9,13.9,13.8,13.85,20102
2017-02-14,13.9,13.9,13.9,13.8,13.85,20102
2017-02-15,13.9,13.9,13.9,13.8,13.85,20102
2017-02-16,13.9,13.9,13.9,13.8,13.85,20102
2017-02-17,13.9,13.9,13.9,13.8,13.85,20102
2017-02-20,13.9,13.9,13.9,13.8,13.85,20102
2017-02-21,13.9,13.9,13.9,13.8,13.85,20102
2017-02-22,13.9,13.9,13.9,13.8,13.85,20102
2017-02-23,13.9,13.9,13.9,13.8,13.85,20102
2017-02-24,13.9,13.9,13.9,13.8,13.85,20102
2017-02-27,13.9,13.9,13.9,13.8,13.85,20102
2017-02-28,13.9,13.9,13.9,13.8,13.85,20102
2017-03-01,13.9,13.9,13.9,13.8,13.85,20102
2017-03-02,13.9,13.9,13.9,13.8,13.85,20102
2017-03-03,13.9,13.9,13.9,13.8,13.85,20102
2017-03-06,13.9,13.9,13.9,13.8,13.85,20102
2017-03-07,13.9,13.9,13.9,13.8,13.85,20102
2017-03-08,13.9,13.9,13.9,13.8,13.85,20102
2017-03-09,13.9,13.9,13.9,13.8,13.85,20102
2017-03-10,13.9,13.9,13.9,13.8,13.85,20102
2017-03-13,13.9,13.9,13.9,13.8,13.85,20102
2017-03-14,13.9,13.9,13.9,13.8,13.85,20102
2017-03-15,13.9,13.9,13.9,13.8,13.85,20102
2017-03-16,13.9,13.9,13.9,13.8,13.85,20102
2017-03-17,13.9,13.9,13.9,13.8,13.85,20102
2017-03-20,13.9,13.9,13.9,13.8,13.85,20102
2017-03-21,13.9,13.9,13.9,13.8,13.85,20102
2017-03-22,13.9,13.9,13.9,13.8,13.85,20102
2017-03-23,13.9,13.9,13.9,13.8,13.85,20102
2017-03-24,13.9,13.9,13.9,13.8,13.85,20102
2017-03-27,13.9,13.9,13.9,13.8,13.85,20102
2017-03-28,13.9,13.9,13.9,13.8,13.85,20102
2017-03-29,13.9,13.9,13.9,13.8,13.85,20102
2017-03-30,13.9,13.9,13.9,13.8,13.85,20102
2017-03-31,13.9,13.9,13.9,13.8,13.85,20102
2017-04-03,13.9,13.9,13.9,13.8,13.85,20102
2017-04-04,13.9,13.9,13.9,13.8,13.85,20102
2017-04-05,13.9,13.9,13.9,13.8,13.85,20102
2017-04-06,13.9,13.9,13.9,13.8,13.85,20102
2017-04-07,13.9,13.9,13.9,13.8,13.85,20102
2017-04-10,13.9,13.9,13.9,13.8,13.85,20102
2017-04-11,13.9,13.9,13.9,13.8,13.85,20102
2017-04-12,13.9,13.9,13.9,13.8,13.85,20102
2017-04-13,13.9,13.9,13.9,13.8,13.85,20102
2017-04-14,13.9,13.9,13.9,13.8,13.85,20102
2017-04-17,13.9,13.9,13.9,13.8,13.85,20102
2017-04-18,13.9,13.9,13.9,13.8,13.85,20102
2017-04-19,13.9,13.9,13.9,13.8,13.85,20102
2017-04-21,13.9,13.9,13.9,13.8,13.85,20102
2017-04-24,13.9,13.9,13.9,13.8,13.85,20102
2017-04-25,13.9,13.9,13.9,13.8,13.85,20102
2017-04-26,13.9,13.9,13.9,13.8,13.85,20102
2017-04-27,13.9,13.9,13.9,13.8,13.85,20102
2017-04-28,13.9,13.9,13.9,13.8,13.85,20102
2017-05-01,13.9,13.9,13.9,13.8,13.85,20102
2017-05-02,13.9,13.9,13.9,13.8,13.85,20102
2017-05-03,13.9,13.9,13.9,13.8,13.85,20102
2017-05-04,13.9,13.9,13.9,13.8,13.85,20102
2017-05-05,13.9,13.9,13.9,13.8,13.85,20102
2017-05-08,13.9,13.9,13.9,13.8,13.85,20102
2017-05-09,13.9,13.9,13.9,13.8,13.85,20102
2017-05-10,13.9,13.9,13.9,13.8,13.85,20102
2017-05-11,13.9,13.9,13.9,13.8,13.85,20102
2017-05-12,13.9,13.9,13.9,13.8,13.85,20102
2017-05-15,13.9,13.9,13.9,13.8,13.85,20102
2017-05-16,13.9,13.9,13.9,13.8,13.85,20102
2017-05-17,13.9,13.9,13.9,13.8,13.85,20102
2017-05-18,13.9,13.9,13.9,13.8,13.85,20102
2017-05-19,13.9,13.9,13.9,13.8,13.85,20102
2017-05-22,13.9,13.9,13.9,13.8,13.85,20102
2017-05-23,13.9,13.9,13.9,13.8,13.85,20102
2017-05-24,13.9,13.9,13.9,13.8,13.85,20102
2017-05-25,13.9,13.9,13.9,13.8,13.85,20102
2017-05-26,13.9,13.9,13.9,13.8,13.85,20102
2017-05-29,13.9,13.9,13.9,13.8,13.85,20102
2017-05-30,13.9,13.9,13.9,13.8,13.85,20102
2017-05-31,13.9,13.9,13.9,13.8,13.85,20102
2017-06-01,13.9,13.9,13.9,13.8,13.85,20102
2017-06-02,13.9,13.9,13.9,13.8,13.85,20102
2017-06-05,13.9,13.9,13.9,13.8,13.85,20102
2017-06-06,13.9,13.9,13.9,13.8,13.85,20102
2017-06-07,13.9,13.9,13.9,13.8,13.85,20102
2017-06-08,13.9,13.9,13.9,13.8,13.85,20102
2017-06-09,13.9,13.9,13.9,13.8,13.85,20102
2017-06-12,13.9,13.9,13.9,13.8,13.85,20102
2017-06-13,13.9,13.9,13.9,13.8,13.85,20102
2017-06-14,13.9,13.9,13.9,13.8,13.85,20102
2017-06-15,13.9,13.9,13.9,13.8,13.85,20102
2017-06-16,13.9,13.9,13.9,13.8,13.85,20102
2017-06-19,13.9,13.9,13.9,13.8,13.85,20102
2017-06-20,13.9,13.9,13.9,13.8,13.85,20102
2017-06-21,13.9,13.9,13.9,13.8,13.85,20102
2017-06-22,13.9,13.9,13.9,13.8,13.85,20102
2017-06-23,13.9,13.9,13.9,13.8,13.85,20102
2017-06-26,13.9,13.9,13.9,13.8,13.85,20102
2017-06-27,13.9,13.9,13.9,13.8,13.85,20102
2017-06-28,13.9,13.9,13.9,13.8,13.85,20102
2017-06-29,13.9,13.9,13.9,13.8,13.85,20102
2017-06-30,13.9,13.9,13.9,13.8,13.85,20102
2017-07-03,13.9,13.9,13.9,13.8,13.85,20102
2017-07-04,13.9,13.9,13.9,13.8,13.85,20102
2017-07-05,13.9,13.9,13.9,13.8,13.85,20102
2017-07-06,13.9,13.9,13.9,13.8,13.85,20102
2017-07-07,13.9,13.9,13.9,13.8,13.85,20102
2017-07-10,13.9,13.9,13.9,13.8,13.85,20102
2017-07-11,13.9,13.9,13.9,13.8,13.85,20102
2017-07-12,13.9,13.9,13.9,13.8,13.85,20102
2017-07-13,13.9,13.9,13.9,13.8,13.85,20102
2017-07-14,13.9,13.9,13.9,13.8,13.85,20102
2017-07-17,13.9,13.9,13.9,13.8,13.85,20102
2017-07-18,13.9,13.9,13.9,13.8,13.85,20102
2017-07-19,13.9,13.9,13.9,13.8,13.85,20102
2017-07-20,13.9,13.9,13.9,13.8,13.85,20102
2017-07-21,13.9,13.9,13.9,13.8,13.85,20102
2017-07-24,13.9,13.9,13.9,13.8,13.85,20102
2017-07-25,13.9,13.9,13.9,13.8,13.85,20102
2017-07-26,13.9,13.9,13.9,13.8,13.85,20102
2017-07-27,13.9,13.9,13.9,13.8,13.85,20102
2017-07-28,13.9,13.9,13.9,13.8,13.85,20102
2017-07-31,13.9,13.9,13.9,13.8,13.85,20102
2017-08-01,13.9,13.9,13.9,13.8,13.85,20102
2017-08-02,13.9,13.9,13.9,13.8,13.85,20102
2017-08-03,13.9,13.9,13.9,13.8,13.85,20102
2017-08-04,13.9,13.9,13.9,13.8,13.85,20102
2017-08-07,13.9,13.9,13.9,13.8,13.85,20102
2017-08-08,13.9,13.9,13.9,13.8,13.85,20102
2017-08-09,13.9,13.9,13.9,13.8,13.85,20102
2017-08-10,13.9,13.9,13.9,13.8,13.85,20102
2017-08-11,13.9,13.9,13.9,13.8,13.85,20102
2017-08-14,13.9,13.9,13.9,13.8,13.85,20102
2017-08-15,13.9,13.9,13.9,13.8,13.85,20102
2017-08-16,13.9,13.9,13.9,13.8,13.85,20102
2017-08-17,13.9,13.9,13.9,13.8,13.85,20102
2017-08-18,13.9,13.9,13.9,13.8,13.85,20102
2017-08-21,13.9,13.9,13.9,13.8,13.85,20102
2017-08-22,13.9,13.9,13.9,13.8,13.85,20102
2017-08-23,13.9,13.9,13.9,13.8,13.85,20102
2017-08-24,13.9,13.9,13.9,13.8,13.85,20102
2017-08-25,13.9,13.9,13.9,13.8,13.85,20102
2017-08-28,13.9,13.9,13.9,13.8,13.85,20102
2017-08-29,13.9,13.9,13.9,13.8,13.85,20102
2017-08-30,13.9,13.9,13.9,13.8,13.85,20102
2017-08-31,13.9,13.9,13.9,13.8,13.85,20102
2017-09-01,13.9,13.9,13.9,13.8,13.85,20102
2017-09-04,13.9,13.9,13.9,13.8,13.85,20102
2017-09-05,13.9,13.9,13.9,13.8,13.85,20102
2017-09-06,13.9,13.9,13.9,13.8,13.85,20102
2017-09-07,13.9,13.9,13.9,13.8,13.85,20102
2017-09-08,13.9,13.9,13.9,13.8,13.85,20102
2017-09-11,13.9,13.9,13.9,13.8,13.85,20102
2017-09-12,13.9,13.9,13.9,13.8,13.85,20102
2017-09-13,13.9,13.9,13.9,13.8,13.85,20102
2017-09-14,13.9,13.9,13.9,13.8,13.85,20102
