Date,Adj Close,Close,High,Low,Open,Volume
2016-08-12,20.7,20.7,20.9,20.5,20.9,32060
2016-08-15,20.7,20.7,20.9,20.5,20.9,32060
2016-08-16,20.7,20.7,20.9,20.5,20.9,32060
2016-08-17,20.7,20.7,20.9,20.5,20.9,32060
2016-08-18,20.7,20.7,20.9,20.5,20.9,32060
2016-08-19,20.7,20.7,20.9,20.5,20.9,32060
2016-08-22,20.7,20.7,20.9,20.5,20.9,32060
2016-08-23,20.7,20.7,20.9,20.5,20.9,32060
2016-08-24,20.7,20.7,20.9,20.5,20.9,32060
2016-08-25,20.7,20.7,20.9,20.5,20.9,32060
2016-08-26,20.7,20.7,20.9,20.5,20.9,32060
2016-08-29,20.7,20.7,20.9,20.5,20.9,32060
2016-08-30,20.7,20.7,20.9,20.5,20.9,32060
2016-08-31,20.7,20.7,20.9,20.5,20.9,32060
2016-09-01,20.7,20.7,20.9,20.5,20.9,32060
2016-09-02,20.7,20.7,20.9,20.5,20.9,32060
2016-09-05,20.7,20.7,20.9,20.5,20.9,32060
2016-09-06,20.7,20.7,20.9,20.5,20.9,32060
2016-09-07,20.7,20.7,20.9,20.5,20.9,32060
2016-09-08,20.7,20.7,20.9,20.5,20.9,32060
2016-09-09,20.7,20.7,20.9,20.5,20.9,32060
2016-09-12,20.7,20.7,20.9,20.5,20.9,32060
2016-09-13,20.7,20.7,20.9,20.5,20.9,32060
2016-09-14,20.7,20.7,20.9,20.5,20.9,32060
2016-09-15,20.7,20.7,20.9,20.5,20.9,32060
2016-09-16,20.7,20.7,20.9,20.5,20.9,32060
2016-09-19,20.7,20.7,20.9,20.5,20.9,32060
2016-09-20,20.7,20.7,20.9,20.5,20.9,32060
2016-09-21,20.7,20.7,20.9,20.5,20.9,32060
2016-09-22,20.7,20.7,20.9,20.5,20.9,32060
2016-09-23,20.7,20.7,20.9,20.5,20.9,32060
2016-09-26,20.7,20.7,20.9,20.5,20.9,32060
2016-09-27,20.7,20.7,20.9,20.5,20.9,32060
2016-09-28,20.7,20.7,20.9,20.5,20.9,32060
2016-09-29,20.7,20.7,20.9,20.5,20.9,32060
2016-09-30,20.7,20.7,20.9,20.5,20.9,32060
2016-10-03,20.7,20.7,20.9,20.5,20.9,32060
2016-10-04,20.7,20.7,20.9,20.5,20.9,32060
2016-10-05,20.7,20.7,20.9,20.5,20.9,32060
2016-10-06,20.7,20.7,20.9,20.5,20.9,32060
2016-10-07,20.7,20.7,20.9,20.5,20.9,32060
2016-10-10,20.7,20.7,20.9,20.5,20.9,32060
2016-10-11,20.7,20.7,20.9,20.5,20.9,32060
2016-10-12,20.7,20.7,20.9,20.5,20.9,32060
2016-10-13,20.7,20.7,20.9,20.5,20.9,32060
2016-10-14,20.7,20.7,20.9,20.5,20.9,32060
2016-10-17,20.7,20.7,20.9,20.5,20.9,32060
2016-10-18,20.7,20.7,20.9,20.5,20.9,32060
2016-10-19,20.7,20.7,20.9,20.5,20.9,32060
2016-10-20,20.7,20.7,20.9,20.5,20.9,32060
2016-10-21,20.7,20.7,20.9,20.5,20.9,32060
2016-10-24,20.7,20.7,20.9,20.5,20.9,32060
2016-10-25,20.7,20.7,20.9,20.5,20.9,32060
2016-10-26,20.7,20.7,20.9,20.5,20.9,32060
2016-10-27,20.7,20.7,20.9,20.5,20.9,32060
2016-10-28,20.7,20.7,20.9,20.5,20.9,32060
2016-10-31,20.7,20.7,20.9,20.5,20.9,32060
2016-11-01,20.7,20.7,20.9,20.5,20.9,32060
2016-11-02,20.7,20.7,20.9,20.5,20.9,32060
2016-11-03,20.7,20.7,20.9,20.5,20.9,32060
2016-11-04,20.7,20.7,20.9,20.5,20.9,32060
2016-11-07,20.7,20.7,20.9,20.5,20.9,32060
2016-11-08,20.7,20.7,20.9,20.5,20.9,32060
2016-11-09,20.7,20.7,20.9,20.5,20.9,32060
2016-11-10,20.7,20.7,20.9,20.5,20.9,32060
2016-11-11,20.7,20.7,20.9,20.5,20.9,32060
2016-11-14,20.7,20.7,20.9,20.5,20.9,32060
2016-11-15,20.7,20.7,20.9,20.5,20.9,32060
2016-11-16,20.7,20.7,20.9,20.5,20.9,32060
2016-11-17,20.7,20.7,20.9,20.5,20.9,32060
2016-11-18,20.7,20.7,20.9,20.5,20.9,32060
2016-11-21,20.7,20.7,20.9,20.5,20.9,32060
2016-11-22,20.7,20.7,20.9,20.5,20.9,32060
2016-11-23,20.7,20.7,20.9,20.5,20.9,32060
2016-11-24,20.7,20.7,20.9,20.5,20.9,32060
2016-11-25,20.7,20.7,20.9,20.5,20.9,32060
2016-11-28,20.7,20.7,20.9,20.5,20.9,32060
2016-11-29,20.7,20.7,20.9,20.5,20.9,32060
2016-11-30,20.7,20.7,20.9,20.5,20.9,32060
2016-12-01,20.7,20.7,20.9,20.5,20.9,32060
2016-12-02,20.7,20.7,20.9,20.5,20.9,32060
2016-12-05,20.7,20.7,20.9,20.5,20.9,32060
2016-12-06,20.7,20.7,20.9,20.5,20.9,32060
2016-12-07,20.7,20.7,20.9,20.5,20.9,32060
2016-12-08,20.7,20.7,20.9,20.5,20.9,32060
2016-12-09,20.7,20.7,20.9,20.5,20.9,32060
2016-12-12,20.7,20.7,20.9,20.5,20.9,32060
2016-12-13,20.7,20.7,20.9,20.5,20.9,32060
2016-12-14,20.7,20.7,20.9,20.5,20.9,32060
2016-12-15,20.7,20.7,20.9,20.5,20.9,32060
2016-12-16,20.7,20.7,20.9,20.5,20.9,32060
2016-12-19,20.7,20.7,20.9,20.5,20.9,32060
2016-12-20,20.7,20.7,20.9,20.5,20.9,32060
2016-12-21,20.7,20.7,20.9,20.5,20.9,32060
2016-12-22,20.7,20.7,20.9,20.5,20.9,32060
2016-12-23,20.7,20.7,20.9,20.5,20.9,32060
2016-12-26,20.7,20.7,20.9,20.5,20.9,32060
2016-12-27,20.7,20.7,20.9,20.5,20.9,32060
2016-12-28,20.7,20.7,20.9,20.5,20.9,32060
2016-12-29,20.7,20.7,20.9,20.5,20.9,32060
2016-12-30,20.7,20.7,20.9,20.5,20.9,32060
2017-01-02,20.7,20.7,20.9,20.5,20.9,32060
2017-01-03,20.7,20.7,20.9,20.5,20.9,32060
2017-01-04,20.7,20.7,20.9,20.5,20.9,32060
2017-01-05,20.7,20.7,20.9,20.5,20.9,32060
2017-01-06,20.7,20.7,20.9,20.5,20.9,32060
2017-01-09,20.7,20.7,20.9,20.5,20.9,32060
2017-01-10,20.7,20.7,20.9,20.5,20.9,32060
2017-01-11,20.7,20.7,20.9,20.5,20.9,32060
2017-01-12,20.7,20.7,20.9,20.5,20.9,32060
2017-01-13,20.7,20.7,20.9,20.5,20.9,32060
2017-01-16,20.7,20.7,20.9,20.5,20.9,32060
2017-01-17,20.7,20.7,20.9,20.5,20.9,32060
2017-01-18,20.7,20.7,20.9,20.5,20.9,32060
2017-01-19,20.7,20.7,20.9,20.5,20.9,32060
2017-01-20,20.7,20.7,20.9,20.5,20.9,32060
2017-01-23,20.7,20.7,20.9,20.5,20.9,32060
2017-01-24,20.7,20.7,20.9,20.5,20.9,32060
2017-01-25,20.7,20.7,20.9,20.5,20.9,32060
2017-01-26,20.7,20.7,20.9,20.5,20.9,32060
2017-01-27,20.7,20.7,20.9,20.5,20.9,32060
