Date,Adj Close,Close,High,Low,Open,Volume
2016-08-12,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-15,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-16,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-17,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-18,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-19,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-22,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-23,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-24,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-25,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-26,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-29,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-30,157.0,157.0,162.0,157.0,157.5,14378267
2016-08-31,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-01,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-02,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-05,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-06,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-07,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-08,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-09,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-12,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-13,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-14,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-15,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-16,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-19,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-20,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-21,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-22,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-23,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-26,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-27,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-28,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-29,157.0,157.0,162.0,157.0,157.5,14378267
2016-09-30,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-03,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-04,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-05,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-06,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-07,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-10,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-11,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-12,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-13,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-14,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-17,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-18,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-19,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-20,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-21,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-24,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-25,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-26,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-27,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-28,157.0,157.0,162.0,157.0,157.5,14378267
2016-10-31,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-01,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-02,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-03,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-04,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-07,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-08,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-09,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-10,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-11,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-14,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-15,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-16,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-17,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-18,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-21,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-22,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-23,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-24,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-25,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-28,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-29,157.0,157.0,162.0,157.0,157.5,14378267
2016-11-30,157.0,157.0,162.0,157.0,157.5,14378267
