Date,Adj Close,Close,High,Low,Open,Volume
2016-08-12,11.35,11.35,11.5,11.15,11.3,525088
2016-08-15,11.35,11.35,11.5,11.15,11.3,525088
2016-08-16,11.35,11.35,11.5,11.15,11.3,525088
2016-08-17,11.35,11.35,11.5,11.15,11.3,525088
2016-08-18,11.35,11.35,11.5,11.15,11.3,525088
2016-08-19,11.35,11.35,11.5,11.15,11.3,525088
2016-08-22,11.35,11.35,11.5,11.15,11.3,525088
2016-08-23,11.35,11.35,11.5,11.15,11.3,525088
2016-08-24,11.35,11.35,11.5,11.15,11.3,525088
2016-08-25,11.35,11.35,11.5,11.15,11.3,525088
2016-08-26,11.35,11.35,11.5,11.15,11.3,525088
2016-08-29,11.35,11.35,11.5,11.15,11.3,525088
2016-08-30,11.35,11.35,11.5,11.15,11.3,525088
2016-08-31,11.35,11.35,11.5,11.15,11.3,525088
2016-09-01,11.35,11.35,11.5,11.15,11.3,525088
2016-09-02,11.35,11.35,11.5,11.15,11.3,525088
2016-09-05,11.35,11.35,11.5,11.15,11.3,525088
2016-09-06,11.35,11.35,11.5,11.15,11.3,525088
2016-09-07,11.35,11.35,11.5,11.15,11.3,525088
2016-09-08,11.35,11.35,11.5,11.15,11.3,525088
2016-09-09,11.35,11.35,11.5,11.15,11.3,525088
2016-09-12,11.35,11.35,11.5,11.15,11.3,525088
2016-09-13,11.35,11.35,11.5,11.15,11.3,525088
2016-09-14,11.35,11.35,11.5,11.15,11.3,525088
2016-09-15,11.35,11.35,11.5,11.15,11.3,525088
2016-09-16,11.35,11.35,11.5,11.15,11.3,525088
2016-09-19,11.35,11.35,11.5,11.15,11.3,525088
2016-09-20,11.35,11.35,11.5,11.15,11.3,525088
2016-09-21,11.35,11.35,11.5,11.15,11.3,525088
2016-09-22,11.35,11.35,11.5,11.15,11.3,525088
2016-09-23,11.35,11.35,11.5,11.15,11.3,525088
2016-09-26,11.35,11.35,11.5,11.15,11.3,525088
2016-09-27,11.35,11.35,11.5,11.15,11.3,525088
2016-09-28,11.35,11.35,11.5,11.15,11.3,525088
2016-09-29,11.35,11.35,11.5,11.15,11.3,525088
2016-09-30,11.35,11.35,11.5,11.15,11.3,525088
2016-10-03,11.35,11.35,11.5,11.15,11.3,525088
2016-10-04,11.35,11.35,11.5,11.15,11.3,525088
2016-10-05,11.35,11.35,11.5,11.15,11.3,525088
2016-10-06,11.35,11.35,11.5,11.15,11.3,525088
2016-10-07,11.35,11.35,11.5,11.15,11.3,525088
2016-10-10,11.35,11.35,11.5,11.15,11.3,525088
2016-10-11,11.35,11.35,11.5,11.15,11.3,525088
2016-10-12,11.35,11.35,11.5,11.15,11.3,525088
2016-10-13,11.35,11.35,11.5,11.15,11.3,525088
2016-10-14,11.35,11.35,11.5,11.15,11.3,525088
2016-10-17,11.35,11.35,11.5,11.15,11.3,525088
2016-10-18,11.35,11.35,11.5,11.15,11.3,525088
2016-10-19,11.35,11.35,11.5,11.15,11.3,525088
2016-10-20,11.35,11.35,11.5,11.15,11.3,525088
2016-10-21,11.35,11.35,11.5,11.15,11.3,525088
2016-10-24,11.35,11.35,11.5,11.15,11.3,525088
2016-10-25,11.35,11.35,11.5,11.15,11.3,525088
2016-10-26,11.35,11.35,11.5,11.15,11.3,525088
2016-10-27,11.35,11.35,11.5,11.15,11.3,525088
2016-10-28,11.35,11.35,11.5,11.15,11.3,525088
2016-10-31,11.35,11.35,11.5,11.15,11.3,525088
2016-11-01,11.35,11.35,11.5,11.15,11.3,525088
2016-11-02,11.35,11.35,11.5,11.15,11.3,525088
2016-11-03,11.35,11.35,11.5,11.15,11.3,525088
2016-11-04,11.35,11.35,11.5,11.15,11.3,525088
2016-11-07,11.35,11.35,11.5,11.15,11.3,525088
2016-11-08,11.35,11.35,11.5,11.15,11.3,525088
2016-11-09,11.35,11.35,11.5,11.15,11.3,525088
2016-11-10,11.35,11.35,11.5,11.15,11.3,525088
2016-11-11,11.35,11.35,11.5,11.15,11.3,525088
2016-11-14,11.35,11.35,11.5,11.15,11.3,525088
2016-11-15,11.35,11.35,11.5,11.15,11.3,525088
2016-11-16,11.35,11.35,11.5,11.15,11.3,525088
2016-11-17,11.35,11.35,11.5,11.15,11.3,525088
2016-11-18,11.35,11.35,11.5,11.15,11.3,525088
2016-11-21,11.35,11.35,11.5,11.15,11.3,525088
2016-11-22,11.35,11.35,11.5,11.15,11.3,525088
2016-11-23,11.35,11.35,11.5,11.15,11.3,525088
2016-11-24,11.35,11.35,11.5,11.15,11.3,525088
2016-11-25,11.35,11.35,11.5,11.15,11.3,525088
2016-11-28,11.35,11.35,11.5,11.15,11.3,525088
2016-11-29,11.35,11.35,11.5,11.15,11.3,525088
2016-11-30,11.35,11.35,11.5,11.15,11.3,525088
2016-12-01,11.35,11.35,11.5,11.15,11.3,525088
2016-12-02,11.35,11.35,11.5,11.15,11.3,525088
2016-12-05,11.35,11.35,11.5,11.15,11.3,525088
2016-12-06,11.35,11.35,11.5,11.15,11.3,525088
2016-12-07,11.35,11.35,11.5,11.15,11.3,525088
2016-12-08,11.35,11.35,11.5,11.15,11.3,525088
2016-12-09,11.35,11.35,11.5,11.15,11.3,525088
2016-12-12,11.35,11.35,11.5,11.15,11.3,525088
2016-12-13,11.35,11.35,11.5,11.15,11.3,525088
2016-12-14,11.35,11.35,11.5,11.15,11.3,525088
2016-12-15,11.35,11.35,11.5,11.15,11.3,525088
2016-12-16,11.35,11.35,11.5,11.15,11.3,525088
2016-12-19,11.35,11.35,11.5,11.15,11.3,525088
2016-12-20,11.35,11.35,11.5,11.15,11.3,525088
2016-12-21,11.35,11.35,11.5,11.15,11.3,525088
2016-12-22,11.35,11.35,11.5,11.15,11.3,525088
2016-12-23,11.35,11.35,11.5,11.15,11.3,525088
2016-12-26,11.35,11.35,11.5,11.15,11.3,525088
2016-12-27,11.35,11.35,11.5,11.15,11.3,525088
2016-12-28,11.35,11.35,11.5,11.15,11.3,525088
2016-12-29,11.35,11.35,11.5,11.15,11.3,525088
2016-12-30,11.35,11.35,11.5,11.15,11.3,525088
2017-01-02,11.35,11.35,11.5,11.15,11.3,525088
2017-01-03,11.35,11.35,11.5,11.15,11.3,525088
2017-01-04,11.35,11.35,11.5,11.15,11.3,525088
2017-01-05,11.35,11.35,11.5,11.15,11.3,525088
2017-01-06,11.35,11.35,11.5,11.15,11.3,525088
2017-01-09,11.35,11.35,11.5,11.15,11.3,525088
2017-01-10,11.35,11.35,11.5,11.15,11.3,525088
2017-01-11,11.35,11.35,11.5,11.15,11.3,525088
2017-01-12,11.35,11.35,11.5,11.15,11.3,525088
2017-01-13,11.35,11.35,11.5,11.15,11.3,525088
2017-01-16,11.35,11.35,11.5,11.15,11.3,525088
2017-01-17,11.35,11.35,11.5,11.15,11.3,525088
2017-01-18,11.35,11.35,11.5,11.15,11.3,525088
2017-01-19,11.35,11.35,11.5,11.15,11.3,525088
2017-01-20,11.35,11.35,11.5,11.15,11.3,525088
2017-01-23,11.35,11.35,11.5,11.15,11.3,525088
2017-01-24,11.35,11.35,11.5,11.15,11.3,525088
2017-01-25,11.35,11.35,11.5,11.15,11.3,525088
2017-01-26,11.35,11.35,11.5,11.15,11.3,525088
2017-01-27,11.35,11.35,11.5,11.15,11.3,525088
2017-01-30,11.35,11.35,11.5,11.15,11.3,525088
2017-01-31,11.35,11.35,11.5,11.15,11.3,525088
2017-02-01,11.35,11.35,11.5,11.15,11.3,525088
2017-02-02,11.35,11.35,11.5,11.15,11.3,525088
2017-02-03,11.35,11.35,11.5,11.15,11.3,525088
2017-02-06,11.35,11.35,11.5,11.15,11.3,525088
2017-02-07,11.35,11.35,11.5,11.15,11.3,525088
2017-02-08,11.35,11.35,11.5,11.15,11.3,525088
2017-02-09,11.35,11.35,11.5,11.15,11.3,525088
2017-02-10,11.35,11.35,11.5,11.15,11.3,525088
2017-02-13,11.35,11.35,11.5,11.15,11.3,525088
2017-02-14,11.35,11.35,11.5,11.15,11.3,525088
2017-02-15,11.35,11.35,11.5,11.15,11.3,525088
2017-02-16,11.35,11.35,11.5,11.15,11.3,525088
2017-02-17,11.35,11.35,11.5,11.15,11.3,525088
2017-02-20,11.35,11.35,11.5,11.15,11.3,525088
2017-02-21,11.35,11.35,11.5,11.15,11.3,525088
2017-02-22,11.35,11.35,11.5,11.15,11.3,525088
2017-02-23,11.35,11.35,11.5,11.15,11.3,525088
2017-02-24,11.35,11.35,11.5,11.15,11.3,525088
2017-02-27,11.35,11.35,11.5,11.15,11.3,525088
2017-02-28,11.35,11.35,11.5,11.15,11.3,525088
2017-03-01,11.35,11.35,11.5,11.15,11.3,525088
2017-03-02,11.35,11.35,11.5,11.15,11.3,525088
2017-03-03,11.35,11.35,11.5,11.15,11.3,525088
2017-03-06,11.35,11.35,11.5,11.15,11.3,525088
2017-03-07,11.35,11.35,11.5,11.15,11.3,525088
2017-03-08,11.35,11.35,11.5,11.15,11.3,525088
2017-03-09,11.35,11.35,11.5,11.15,11.3,525088
2017-03-10,11.35,11.35,11.5,11.15,11.3,525088
2017-03-13,11.35,11.35,11.5,11.15,11.3,525088
2017-03-14,11.35,11.35,11.5,11.15,11.3,525088
2017-03-15,11.35,11.35,11.5,11.15,11.3,525088
2017-03-16,11.35,11.35,11.5,11.15,11.3,525088
2017-03-17,11.35,11.35,11.5,11.15,11.3,525088
2017-03-20,11.35,11.35,11.5,11.15,11.3,525088
2017-03-21,11.35,11.35,11.5,11.15,11.3,525088
2017-03-22,11.35,11.35,11.5,11.15,11.3,525088
2017-03-23,11.35,11.35,11.5,11.15,11.3,525088
2017-03-24,11.35,11.35,11.5,11.15,11.3,525088
2017-03-27,11.35,11.35,11.5,11.15,11.3,525088
2017-03-28,11.35,11.35,11.5,11.15,11.3,525088
2017-03-29,11.35,11.35,11.5,11.15,11.3,525088
2017-03-30,11.35,11.35,11.5,11.15,11.3,525088
2017-03-31,11.35,11.35,11.5,11.15,11.3,525088
